time C1_re C1_im C2_re C2_im
11.8 2.7474002240856377e-6 -1.5009115830153716e-6 2.7474002240856377e-6 -1.5009115830153716e-6
11.81 2.720063135098413e-6 -1.4859772632365696e-6 2.720063135098413e-6 -1.4859772632365696e-6
11.82 2.692998054691425e-6 -1.4711915424224098e-6 2.692998054691425e-6 -1.4711915424224098e-6
11.83 2.666202276334079e-6 -1.4565529419884892e-6 2.666202276334079e-6 -1.4565529419884892e-6
11.84 2.639673120426209e-6 -1.4420599980625657e-6 2.639673120426209e-6 -1.4420599980625657e-6
11.85 2.6134079340301163e-6 -1.4277112613381692e-6 2.6134079340301163e-6 -1.4277112613381692e-6
11.86 2.5874040906052743e-6 -1.4135052969296697e-6 2.5874040906052743e-6 -1.4135052969296697e-6
11.87 2.5616589897456695e-6 -1.3994406842287881e-6 2.5616589897456695e-6 -1.3994406842287881e-6
11.88 2.536170056919758e-6 -1.3855160167625317e-6 2.536170056919758e-6 -1.3855160167625317e-6
11.89 2.510934743213025e-6 -1.3717299020525543e-6 2.510934743213025e-6 -1.3717299020525543e-6
11.9 2.485950525073066e-6 -1.358080961475894e-6 2.485950525073066e-6 -1.358080961475894e-6
11.91 2.4612149040572464e-6 -1.3445678301271195e-6 2.4612149040572464e-6 -1.3445678301271195e-6
11.92 2.436725406582852e-6 -1.3311891566818347e-6 2.436725406582852e-6 -1.3311891566818347e-6
11.93 2.412479583679727e-6 -1.317943603261546e-6 2.412479583679727e-6 -1.317943603261546e-6
11.94 2.388475010745376e-6 -1.3048298452998733e-6 2.388475010745376e-6 -1.3048298452998733e-6
11.95 2.364709287302503e-6 -1.2918465714100926e-6 2.364709287302503e-6 -1.2918465714100926e-6
11.96 2.341180036758953e-6 -1.2789924832539929e-6 2.341180036758953e-6 -1.2789924832539929e-6
11.97 2.317884906170073e-6 -1.2662662954120515e-6 2.317884906170073e-6 -1.2662662954120515e-6
11.98 2.2948215660033874e-6 -1.253666735254877e-6 2.2948215660033874e-6 -1.253666735254877e-6
11.99 2.2719877099056593e-6 -1.2411925428159533e-6 2.2719877099056593e-6 -1.2411925428159533e-6
12.0 2.249381054472252e-6 -1.228842470665642e-6 2.249381054472252e-6 -1.228842470665642e-6
12.01 2.2269993390187815e-6 -1.2166152837864362e-6 2.2269993390187815e-6 -1.2166152837864362e-6
12.02 2.204840325355052e-6 -1.2045097594494581e-6 2.204840325355052e-6 -1.2045097594494581e-6
12.03 2.1829017975612317e-6 -1.1925246870921867e-6 2.1829017975612317e-6 -1.1925246870921867e-6
12.04 2.161181561766258e-6 -1.1806588681973983e-6 2.161181561766258e-6 -1.1806588681973983e-6
12.05 2.139677445928448e-6 -1.1689111161733133e-6 2.139677445928448e-6 -1.1689111161733133e-6
12.06 2.1183872996183045e-6 -1.1572802562349435e-6 2.1183872996183045e-6 -1.1572802562349435e-6
12.07 2.097308993803452e-6 -1.145765125286601e-6 2.097308993803452e-6 -1.145765125286601e-6
12.08 2.076440420635743e-6 -1.134364571805594e-6 2.076440420635743e-6 -1.134364571805594e-6
12.09 2.0557794932404704e-6 -1.1230774557270748e-6 2.0557794932404704e-6 -1.1230774557270748e-6
12.1 2.035324145507677e-6 -1.1119026483300292e-6 2.035324145507677e-6 -1.1119026483300292e-6
12.11 2.015072331885544e-6 -1.1008390321244055e-6 2.015072331885544e-6 -1.1008390321244055e-6
12.12 1.9950220271758313e-6 -1.0898855007393628e-6 1.9950220271758313e-6 -1.0898855007393628e-6
12.13 1.975171226331357e-6 -1.0790409588126333e-6 1.975171226331357e-6 -1.0790409588126333e-6
12.14 1.9555179442555007e-6 -1.0683043218809906e-6 1.9555179442555007e-6 -1.0683043218809906e-6
12.15 1.936060215603674e-6 -1.0576745162717927e-6 1.936060215603674e-6 -1.0576745162717927e-6
12.16 1.916796094586796e-6 -1.0471504789956204e-6 1.916796094586796e-6 -1.0471504789956204e-6
12.17 1.8977236547767126e-6 -1.036731157639976e-6 1.8977236547767126e-6 -1.036731157639976e-6
12.18 1.8788409889135483e-6 -1.0264155102640409e-6 1.8788409889135483e-6 -1.0264155102640409e-6
12.19 1.8601462087149815e-6 -1.0162025052944816e-6 1.8601462087149815e-6 -1.0162025052944816e-6
12.2 1.841637444687413e-6 -1.0060911214222896e-6 1.841637444687413e-6 -1.0060911214222896e-6
12.21 1.823312845939013e-6 -9.960803475006503e-7 1.823312845939013e-6 -9.960803475006503e-7
12.22 1.8051705799946426e-6 -9.861691824438326e-7 1.8051705799946426e-6 -9.861691824438326e-7
12.23 1.7872088326125857e-6 -9.763566351270698e-7 1.7872088326125857e-6 -9.763566351270698e-7
12.24 1.7694258076031356e-6 -9.666417242874526e-7 1.7694258076031356e-6 -9.666417242874526e-7
12.25 1.751819726648972e-6 -9.570234784258017e-7 1.751819726648972e-6 -9.570234784258017e-7
12.26 1.7343888291273282e-6 -9.475009357095158e-7 1.7343888291273282e-6 -9.475009357095158e-7
