time itr a b c d source HEOM_C_re HEOM_C_im RMRT_gdd_re RMRT_gdd_im diff_re diff_im abs_diff ratio_re ratio_im abs_ratio
3.0000000000e-01 16 2 2 2 2 fd_gprime 2.195188452447e-01 -1.111227331023e-01 1.421967907864e-01 -7.313106432372e-02 -7.732205445834e-02 3.799166877854e-02 8.615141903786e-02 6.498759209626e-01 -4.168552399203e-03 6.498892901688e-01
3.0000000000e-01 16 1 1 2 2 fd_gprime 7.317294841490e-02 -3.704091103409e-02 4.739893026212e-02 -2.437702144124e-02 -2.577401815278e-02 1.266388959284e-02 2.871713967929e-02 6.498759209626e-01 -4.168552399204e-03 6.498892901688e-01
3.0000000000e-01 16 2 2 1 1 fd_gprime 7.317294841490e-02 -3.704091103409e-02 4.739893026212e-02 -2.437702144124e-02 -2.577401815278e-02 1.266388959284e-02 2.871713967929e-02 6.498759209626e-01 -4.168552399204e-03 6.498892901688e-01
3.0000000000e-01 16 1 2 2 1 direct_gddot 7.317294841490e-02 -3.704091103409e-02 4.751294301591e-02 -2.454770342410e-02 -2.566000539899e-02 1.249320760998e-02 2.853972868586e-02 6.520561455804e-01 -5.397483017760e-03 6.520784843960e-01
3.0000000000e-01 16 1 2 1 2 direct_gddot 7.317294841490e-02 -3.704091103409e-02 4.751294301591e-02 -2.454770342410e-02 -2.566000539899e-02 1.249320760998e-02 2.853972868586e-02 6.520561455804e-01 -5.397483017760e-03 6.520784843960e-01
3.2000000000e-01 17 1 1 1 1 fd_gprime 2.134472498330e-01 -1.089223555611e-01 1.352406221699e-01 -7.244867739409e-02 -7.820662766310e-02 3.647367816696e-02 8.629371825030e-02 6.401181103399e-01 -1.276898615801e-02 6.402454546442e-01
3.2000000000e-01 17 2 2 2 2 fd_gprime 2.134472498330e-01 -1.089223555611e-01 1.352406221699e-01 -7.244867739409e-02 -7.820662766310e-02 3.647367816696e-02 8.629371825030e-02 6.401181103399e-01 -1.276898615801e-02 6.402454546442e-01
3.2000000000e-01 17 1 1 2 2 fd_gprime 7.114908327765e-02 -3.630745185368e-02 4.508020738995e-02 -2.414955913136e-02 -2.606887588770e-02 1.215789272232e-02 2.876457275010e-02 6.401181103399e-01 -1.276898615801e-02 6.402454546442e-01
3.2000000000e-01 17 2 2 1 1 fd_gprime 7.114908327765e-02 -3.630745185368e-02 4.508020738995e-02 -2.414955913136e-02 -2.606887588770e-02 1.215789272232e-02 2.876457275010e-02 6.401181103399e-01 -1.276898615801e-02 6.402454546442e-01
3.2000000000e-01 17 1 2 2 1 direct_gddot 7.114908327765e-02 -3.630745185368e-02 4.499743698791e-02 -2.433671699350e-02 -2.615164628975e-02 1.197073486018e-02 2.876120819362e-02 6.402601364759e-01 -1.532701286276e-02 6.404435647919e-01
3.2000000000e-01 17 1 2 1 2 direct_gddot 7.114908327765e-02 -3.630745185368e-02 4.499743698791e-02 -2.433671699350e-02 -2.615164628975e-02 1.197073486018e-02 2.876120819362e-02 6.402601364759e-01 -1.532701286276e-02 6.404435647919e-01
3.4000000000e-01 18 1 1 1 1 fd_gprime 2.077309713192e-01 -1.067655484144e-01 1.294681024231e-01 -6.899692414704e-02 -7.826286889608e-02 3.776862426736e-02 8.689962961310e-02 6.280545684742e-01 -9.350236497683e-03 6.281241659925e-01
3.4000000000e-01 18 2 2 2 2 fd_gprime 2.077309713192e-01 -1.067655484144e-01 1.294681024231e-01 -6.899692414704e-02 -7.826286889608e-02 3.776862426736e-02 8.689962961310e-02 6.280545684742e-01 -9.350236497682e-03 6.281241659925e-01
3.4000000000e-01 18 1 1 2 2 fd_gprime 6.924365710640e-02 -3.558851613813e-02 4.315603414104e-02 -2.299897471568e-02 -2.608762296536e-02 1.258954142245e-02 2.896654320437e-02 6.280545684742e-01 -9.350236497679e-03 6.281241659925e-01
